sim,total_net_income,default_rate_annual,lgd,margin_shock,macro_factor
2914,8665570.862045113,0.04449848396457908,0.365190972350941,-0.0004184136487423293,0.042609223760035765
2915,-774927.8614039011,0.08657477498802371,0.5792155284028693,0.014595598318239778,-1.0331305834580906
2916,-17350730.623814523,0.085328503898458,0.5313143915910173,-0.023365199113448074,-1.3488363204168115
2917,24438320.61259051,0.03679170475152331,0.321598813863552,0.02670880983328894,1.0739695414377377
2918,28330981.38803399,0.01,0.2245130438773311,0.024907093214841303,1.8107116629183762
2919,11690791.594057713,0.045697607090246235,0.5366706223191855,0.013906146423735501,0.046719244784203945
2920,4998660.081180368,0.047122231059628414,0.5900704089280691,0.0038027543133186217,0.20660912772278656
2921,-29241100.573535293,0.09943748717120228,0.7016152853329019,-0.022715340212660716,-1.8932123032208052
2922,31000000.000000026,0.01,0.2,0.03,1.8798500249452958
2923,17322868.56184372,0.01,0.3992162897661612,0.004637900021349015,1.1250534896876154
2924,14551050.550002163,0.03739568493119802,0.2898631879000143,0.005941733547865938,0.6688109004773214
2925,9958657.124815734,0.02365004630144522,0.649358835619179,0.001274680778277646,-0.5962587170247173
2926,-2459223.14401721,0.07674642084881506,0.48158980711191945,-0.001958152274923366,0.5242282857304499
2927,2257963.486276239,0.04781689474349282,0.3524748230794986,-0.012629821512523867,0.5645841133165913
2928,28623879.98283885,0.01,0.2,0.02524775996567767,2.325911716715314
2929,7250942.416578079,0.01793595800972337,0.7922206118511933,-0.005288879538243487,-0.6526273270678512
2930,-24346249.20591993,0.0823980464973916,0.6394872287840938,-0.03,-1.2115038911078932
2931,-7854075.212213948,0.1090031451800215,0.4489088733632272,-0.0007756713286161749,0.03544172970632749
2932,-7461349.170557994,0.040626433696086914,0.6483731971971232,-0.02258160763486718,-1.3592765464060126
2933,22534637.13176904,0.0631319939480808,0.24597998461595336,0.026598481163661536,-0.5922191639147026
2934,22975269.594780803,0.01056980037999515,0.2,0.014064499265560654,0.7456392037006585
2935,29561165.91311754,0.01,0.20389394154367882,0.027161271241671933,1.5702508736118699
2936,-31357595.594684757,0.0777707188537726,0.8578445997755261,-0.03,-1.8214169633678243
2937,5616961.135145605,0.0722292312568936,0.38006155650262025,0.004685476326773951,0.19287868902522484
2938,9911174.2806416,0.06753676093434147,0.22956959570354263,0.0013267354641067427,0.1830496008171349
2939,14632618.497680023,0.06943392157826427,0.3815224877608016,0.02175583949088776,0.44107568017116194
2940,7220808.011060232,0.05011958138933293,0.38501171129473305,-0.00026175817779683364,0.9701776318087014
2941,-6669962.868347874,0.09496595115582844,0.49502767828898453,-0.00032915141952085894,-0.6564129182608818
2942,1392465.3701323569,0.06700083054234716,0.5228946731834908,0.003819308129727754,-0.7850528638010786
2943,-18180286.322644077,0.07497095364841981,0.6085629409298551,-0.024736028608689935,-0.6115918368044213
2944,22582008.085943382,0.04309911192518971,0.3328592448634447,0.025509954021590477,0.5291849914469698
2945,21716740.49492365,0.06298057362234141,0.2,0.02202959571431552,1.3320807259278715
2946,5169666.326447893,0.051143392652305594,0.7394439291922766,0.0141570038679401,-0.4615909991459365
2947,-4722276.301994465,0.0603350014550422,0.44154856678008564,-0.01680371918484068,0.5149440970719076
2948,-1765387.7778246067,0.06717459743563788,0.656125671895829,0.006544202321140569,-0.3139572498362541
2949,24993650.997560285,0.026410276956498373,0.3112783813914866,0.02420825025824028,1.2767971896944754
2950,-4544189.653716233,0.07552019560665284,0.5113652568681676,-0.00446997508230214,-0.01963896249504307
2951,364039.09773166105,0.04507402474333567,0.33761099053854987,-0.018054435663380025,0.24818659447669594
2952,15232910.584240459,0.037299002761130476,0.2,0.003925621720707053,0.6652177440849291
2953,17148531.045946844,0.01,0.33208915558435015,0.003617953647737167,0.32345849510937236
2954,1383151.5592047032,0.03321182522799036,0.7020666696193699,-0.007916781351794785,-0.9869218947506514
2955,1276436.0327781811,0.06338485763135113,0.690144828269045,0.012297603750403079,-0.47355532130838146
2956,2251056.270970557,0.08350696536561139,0.22081594054141074,-0.011058218359092388,-0.2777973059182766
2957,411186.50191500876,0.024098523207188013,0.2840244925633998,-0.02633305617072109,0.33460729173072123
2958,13729999.006445084,0.039144586795105206,0.378884521512008,0.008291276050538867,0.6953567009777871
2959,-27016777.303446054,0.07608257590584652,0.8046766004990186,-0.026811686069766992,-1.6100327939410817
2960,22628954.037192512,0.022076724344495993,0.5200296027973413,0.02273845826631974,0.15626443153821068
2961,3364796.7304882575,0.042013303341898185,0.4818066610101269,-0.007028117137857936,0.9468532535151475
2962,7918953.972536438,0.061976768592957865,0.2,-0.005766738336335571,0.27175385153313936
2963,-8221269.174147317,0.061660044510655286,0.6134611588758746,-0.01261649598645005,-0.9006709800519722
2964,21540939.620881524,0.028568004314909346,0.27174905471326405,0.01684520740938413,0.9859893300585213
2965,-9056377.479347754,0.07301880820122178,0.5587080303682811,-0.011316560448751588,-1.6930989902853932
2966,14894676.714784315,0.04319841034563748,0.2,0.004429035498696142,0.605810801137119
2967,8318387.41553811,0.052540983041909795,0.29565843630592364,-0.0018290402807767281,0.24715710407770497
2968,31000000.000000026,0.01,0.2,0.03,1.6475516089415674
2969,-28520795.843821846,0.11223437537241301,0.6224198728430174,-0.02118468603973089,-1.539214480859047
2970,20305385.729802374,0.0919204961863089,0.2290143852777762,0.027661887388140394,-0.19820741809966577
2971,18987870.254567925,0.01,0.22183778347799382,0.006194118343915811,1.2809876791726227
2972,12041048.094519518,0.01,0.45095382661383826,-0.005408365544822605,0.07252805263596762
2973,20877933.474670693,0.01,0.42058207104372275,0.011961687659778631,1.1073036591039138
2974,-59973.84724975191,0.0579035523961622,0.2702988884874902,-0.018468681842339695,-0.5019054959014345
2975,24263278.355635613,0.026962902277988914,0.2,0.019919137166869053,1.0896648122369366
2976,-5366389.018207643,0.038483737163922324,0.46703225343273214,-0.026759631548235664,-0.09691856962926526
2977,-6180863.397024961,0.060519293695156774,0.6927934483000378,-0.004434356626299543,-0.240521174271098
2978,-25424151.86763209,0.09730017083984405,0.5856791739400895,-0.02786162005355473,-2.0671102246093973
2979,-3055743.755719563,0.059787041799358905,0.5762294792132991,-0.005660431551690769,-0.41106947288681817
2980,7081779.882417016,0.06981780695546917,0.3488423089248356,0.0045189647472483295,0.05808640659177093
2981,11641477.164110214,0.01,0.44175139630520766,-0.006299531708727497,-0.1662099135810711
2982,-4194826.188632652,0.08057693440526684,0.33149826615231687,-0.015678538330050378,-0.4223931092077327
2983,-20975460.455810066,0.07328366200228831,0.627028175941662,-0.03,-0.5679481469977529
2984,16721996.508127023,0.03848918766877571,0.4177514957488615,0.015522908735043738,-0.4629398671591936
2985,19265563.465166707,0.02357576401268005,0.2,0.009246279732869445,0.7509563049891836
2986,12556835.10531982,0.04906963232563297,0.2,0.000927596675766275,0.06307567350495229
2987,1410158.067873111,0.04864385291679822,0.6076016192959836,-0.0016236000632115456,-0.6482773740771043
2988,3354920.865470633,0.04654924062345126,0.25998761204721116,-0.01518793235675659,0.4138409341418349
2989,13487995.153491447,0.05766170691377522,0.2,0.004508331689737988,0.16296212132498594
2990,-1215400.1135512516,0.09334458155308728,0.2468952391070991,-0.013384467445200911,-0.5963920497834372
2991,5077098.894522177,0.05719996224704561,0.37796952066840117,-0.002225959898189205,-0.7913520670754193
