sim,total_net_income,default_rate,lgd,margin_shock
9076,-13239421.793809742,0.06446107749518681,0.596603525438389,-0.005615352459869797
9077,-18254127.95205225,0.09483599992208423,0.6458522263975021,0.019492037616144875
9078,13030412.662689753,0.015008049060916767,0.2,0.027991675680451612
9079,8795246.183235561,0.06087013539108972,0.2,0.029372825137093335
9080,4283918.111060607,0.05422720385704356,0.23685500254771366,0.012941286681645918
9081,1943719.950353887,0.07848137504206604,0.33378484281887955,0.03
9082,2286301.077373823,0.0842934896318037,0.20789228973056997,0.014288331915442782
9083,-17472649.137105867,0.08770026259206945,0.5194070882080244,-0.00831441359905403
9084,-20094130.18139777,0.06900751235215441,0.7052121115824811,-0.012504905302056224
9085,6299326.569087708,0.01,0.257469066982684,0.0006688730649224917
9086,-1742993.4496190976,0.09819207590928111,0.2,0.0025949408838387843
9087,-991842.9960989449,0.06358275388642863,0.2,-0.00806649550474521
9088,-6016810.534776457,0.06699665661758833,0.44222226309112117,0.0054304105693424795
9089,3711113.5010317387,0.04912799930842965,0.2584749256605766,0.01040114682851682
9090,-14753053.635902468,0.09475543247399688,0.429561844675959,-0.007153027354504713
9091,4655158.569287656,0.05997484465435264,0.2,0.012731710300549249
9092,-31115394.569759224,0.08887179492878812,0.7830174507508345,-0.014706799011267858
9093,-41347889.93685694,0.11689901405466782,0.7038477943754888,-0.03
9094,-22068146.17874493,0.11321838877073576,0.38615304603348743,-0.03
9095,-14289953.46436643,0.08925634709670759,0.6258902214676624,0.02449462542233448
9096,-363516.31647691317,0.06731666951954524,0.3463068130840862,0.01524955145402207
9097,-10799630.345293516,0.11009918989420339,0.413428605624916,0.01787323383830757
9098,-11824528.052250402,0.06295535225233795,0.37980640229425733,-0.028665331659749493
9099,4343991.180201817,0.08395053825535807,0.2,0.020940504940607122
9100,4242362.534675278,0.04463389482995496,0.38321438517912887,0.021158837314285243
9101,5093721.199286345,0.05258857716192738,0.2,0.011551130159262004
9102,-10488318.557348905,0.10384319809208786,0.35536049054763263,0.002147802031491568
9103,-7785308.358008243,0.084251748434805,0.35062376106314364,-0.0016982658432642451
9104,-1834302.759802563,0.03963106937049338,0.5094601497883284,0.0033216623308027944
9105,-23702231.6765401,0.10560084633733102,0.5942566980095195,0.001015502095120305
9106,-25335411.114511892,0.07451499177769641,0.6744167094895801,-0.03
9107,3748385.2896971367,0.06006402171349804,0.2,0.009199163781168323
9108,-5792146.0721359085,0.05663256249614646,0.5392319591996492,0.008105827183649512
9109,-36751415.75209896,0.09644240927926018,0.7578218481239078,-0.03
9110,-21720203.690632597,0.10451216403289314,0.5867016932242733,0.005987651579081118
9111,366785.83106168173,0.08978848892859019,0.2472046880465613,0.015927292572893752
9112,-18874279.19900006,0.11723432049820606,0.4477140241667734,-0.00018578819139215887
9113,-3822616.580945555,0.09488520347384816,0.32830941625404986,0.017061913314927367
9114,-4460664.621402264,0.10154042454694664,0.2,-0.00678015278704626
9115,-34076248.09208916,0.11513398749696593,0.6654288186915567,-0.012535782739981296
9116,-66403.48771009035,0.08895191299629232,0.2,0.005555886473124542
9117,-33786435.63716569,0.11702317533788748,0.599645616132079,-0.024066433830383344
9118,-10459064.256446358,0.10418047209717698,0.28969007021880705,-0.010960157840589575
9119,8396299.373676505,0.0526376383910874,0.2,0.02456418313226987
9120,8850840.34338791,0.0619082632327875,0.2,0.03
9121,870873.1195227336,0.05725096975373242,0.2,-0.0032289701184420295
9122,-25361877.725052707,0.1122826660517154,0.5225245109280304,-0.013547495644073669
9123,-34785011.84159705,0.11706682599288556,0.5907169382104035,-0.03
9124,-8550502.549849208,0.08682421786931196,0.3577640868248787,-0.0017149208119338244
9125,12332185.47043395,0.02709481196232709,0.2,0.03
9126,2873207.3892074097,0.07496485657675882,0.32464436892504667,0.03
9127,-6030081.768879179,0.11227893912514442,0.2910758206552485,0.011386598315528716
9128,-3273207.508238079,0.12071692794522311,0.2,0.005436663421446185
