sim,month,outstanding_open,A_open,B_open,C_open,WH_open,A_close,B_close,C_close,WH_close,interest_income,funding_cost_A,funding_cost_B,funding_cost_C,funding_cost_WH,funding_cost_total,net_before_principal,principal_repay_total,principal_repay_A,principal_repay_B,principal_repay_C,principal_repay_WH,default_rate,lgd,margin_shock,default_loss_end
0,48,21666666.666666612,14444444.44444441,4814814.814814804,2407407.4074073983,0.0,13333333.333333295,4444444.444444434,2222222.222222213,3.4387295062725354e-09,194297.5378695988,60185.18518518503,28086.41975308636,20061.72839506165,2.4835268656412762e-11,108333.33333333308,85964.20453626572,1666666.6666666667,1111111.111111111,370370.3703703705,185185.18518518496,2.8656079218937874e-10,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,49,19999999.999999944,13333333.333333295,4444444.444444434,2222222.222222213,3.4387295062725354e-09,12222222.222222187,4074074.0740740635,2037037.0370370282,0.0,179351.57341809114,55555.55555555541,25925.925925925865,18518.518518518442,0.0,99999.99999999971,79351.57341809143,1666666.6666666667,1111111.1111111112,370370.3703703705,185185.18518518496,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,50,18333333.333333276,12222222.222222187,4074074.0740740635,2037037.0370370282,0.0,11111111.111111071,3703703.703703693,1851851.8518518433,0.0,164405.6089665835,50925.92592592576,23765.43209876537,16975.308641975236,0.0,91666.66666666637,72738.94229991714,1666666.6666666667,1111111.111111111,370370.37037037057,185185.18518518496,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,51,16666666.66666661,11111111.111111071,3703703.703703693,1851851.8518518433,0.0,9999999.99999996,3333333.333333323,1666666.6666666584,1.6763806343078607e-09,149459.64451507587,46296.29629629614,21604.93827160488,15432.098765432027,1.2417634328206381e-11,83333.33333333307,66126.3111817428,1666666.6666666667,1111111.1111111112,370370.37037037057,185185.18518518496,1.8626451492309633e-10,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,52,14999999.999999944,9999999.99999996,3333333.333333323,1666666.6666666584,1.6763806343078607e-09,8888888.88888885,2962962.9629629524,1481481.4814814734,0.0,134513.68006356823,41666.66666666651,19444.444444444383,13888.88888888882,0.0,74999.99999999971,59513.68006356852,1666666.6666666667,1111111.1111111112,370370.37037037057,185185.18518518496,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,53,13333333.333333278,8888888.88888885,2962962.9629629524,1481481.4814814734,0.0,7777777.777777742,2592592.592592582,1296296.2962962885,0.0,119567.7156120606,37037.037037036884,17283.95061728389,12345.679012345612,0.0,66666.66666666638,52901.048945394214,1666666.6666666667,1111111.1111111112,370370.3703703705,185185.18518518494,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,54,11666666.666666612,7777777.777777742,2592592.592592582,1296296.2962962885,0.0,6666666.666666629,2222222.2222222113,1111111.1111111036,1.5965529850551047e-09,104621.75116055297,32407.40740740725,15123.456790123397,10802.469135802405,1.2417634328206381e-11,58333.33333333307,46288.417827219906,1666666.6666666667,1111111.111111111,370370.3703703706,185185.18518518494,2.660921641758523e-10,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,55,9999999.999999946,6666666.666666629,2222222.2222222113,1111111.1111111036,1.5965529850551047e-09,5555555.55555552,1851851.8518518407,925925.9259259186,1.5522042910257957e-09,89675.78670904534,27777.77777777763,12962.9629629629,9259.259259259195,1.2417634328206381e-11,49999.99999999974,39675.7867090456,1666666.6666666667,1111111.111111111,370370.37037037057,185185.18518518494,3.104408582051612e-10,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,56,8333333.333333279,5555555.55555552,1851851.8518518407,925925.9259259186,1.5522042910257957e-09,4444444.444444409,1481481.4814814702,740740.7407407337,0.0,74729.8222575377,23148.148148147997,10802.469135802405,7716.049382715988,0.0,41666.66666666639,33063.15559087131,1666666.6666666667,1111111.1111111112,370370.37037037057,185185.18518518494,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,57,6666666.666666612,4444444.444444409,1481481.4814814702,740740.7407407337,0.0,3333333.3333332976,1111111.1111110996,555555.5555555488,0.0,59783.85780603006,18518.51851851837,8641.97530864191,6172.839506172781,0.0,33333.33333333306,26450.524472696998,1666666.6666666667,1111111.1111111112,370370.3703703706,185185.18518518494,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,58,4999999.999999945,3333333.3333332976,1111111.1111110996,555555.5555555488,0.0,2222222.2222221857,740740.740740729,370370.3703703638,0.0,44837.89335452242,13888.888888888736,6481.481481481414,4629.629629629573,0.0,24999.999999999724,19837.893354522697,1666666.6666666667,1111111.1111111112,370370.3703703706,185185.18518518496,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,59,3333333.333333278,2222222.2222221857,740740.740740729,370370.3703703638,0.0,1111111.1111110742,370370.3703703584,185185.18518517882,0.0,29891.928903014777,9259.259259259105,4320.987654320919,3086.4197530863653,0.0,16666.666666666388,13225.26223634839,1666666.6666666667,1111111.111111111,370370.3703703706,185185.185185185,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
0,60,1666666.6666666113,1111111.1111110742,370370.3703703584,185185.18518517882,0.0,-3.702007234096527e-08,-1.234002411365509e-08,-6.170012056827545e-09,0.0,14945.964451507141,4629.629629629475,2160.493827160424,1543.209876543157,0.0,8333.333333333056,6612.631118174086,1666666.6666666667,1111111.111111111,370370.37037037074,185185.185185185,0.0,0.06838544665886397,0.2410454128730876,0.017610944050854994,8241999.112198186
